"escopo";"codigo";"recurso";"acao";"origem";"descricao"
"global";"recesso:homologar:global";"recesso";"homologar";"gerada automaticamente";"Homologar recesso dos servidores convocados. Abrangencia: global."
"global";"recesso:relatorio:global";"recesso";"relatorio";"declarada explicitamente";"Gerar relatorio de pecunia do recesso para SEPAG."
"global";"solicitacoes:analisar:global";"solicitacoes";"analisar";"gerada automaticamente";"Analisar solicitações dos subordinados. Abrangencia: global."
"global";"solicitacoes:criar:global";"solicitacoes";"criar";"gerada automaticamente";"Criar solicitações próprias de frequência. Abrangencia: global."
"global";"solicitacoes:visualizar:global";"solicitacoes";"visualizar";"gerada automaticamente";"Visualizar próprias solicitações. Abrangencia: global."
"global";"substituicoes-funcao:aprovar-pagamento:global";"substituicoes-funcao";"aprovar-pagamento";"declarada explicitamente";"Aprovar, rejeitar ou cancelar pagamentos calculados de substituição em todas as seccionais."
"global";"substituicoes-funcao:calcular-pagamento:global";"substituicoes-funcao";"calcular-pagamento";"declarada explicitamente";"Calcular pagamento de substituição com base em afastamentos, faltas e regras de qualquer seccional."
"global";"substituicoes-funcao:configurar-valores:global";"substituicoes-funcao";"configurar-valores";"declarada explicitamente";"Configurar referências e valores de funções usados no cálculo de substituição em todas as seccionais."
"global";"substituicoes-funcao:enviar-folha:global";"substituicoes-funcao";"enviar-folha";"declarada explicitamente";"Marcar pagamentos de substituição como enviados para processamento em folha em todas as seccionais."
"global";"teams-aprovacoes:analisar:global";"teams-aprovacoes";"analisar";"gerada automaticamente";"Analisar aprovações pelo Microsoft Teams. Abrangencia: global."
"global";"teams-banco-horas:consultar:global";"teams-banco-horas";"consultar";"gerada automaticamente";"Consultar banco de horas pelo Microsoft Teams. Abrangencia: global."
"global";"teams-bot:usar:global";"teams-bot";"usar";"gerada automaticamente";"Usar o bot conversacional do SECP no Microsoft Teams. Abrangencia: global."
"global";"teams-homologacao:analisar:global";"teams-homologacao";"analisar";"gerada automaticamente";"Analisar homologações pelo Microsoft Teams. Abrangencia: global."
"global";"teams-notificacoes:receber:global";"teams-notificacoes";"receber";"gerada automaticamente";"Receber notificações individuais do SECP no Microsoft Teams. Abrangencia: global."
"global";"teams-ponto:registrar:global";"teams-ponto";"registrar";"gerada automaticamente";"Registrar ponto pelo Microsoft Teams quando autorizado. Abrangencia: global."
"global";"teams-solicitacoes:criar:global";"teams-solicitacoes";"criar";"gerada automaticamente";"Criar solicitações pelo Microsoft Teams. Abrangencia: global."
"proprio";"afd:importar:proprio";"afd";"importar";"gerada automaticamente";"Importar arquivos AFD de equipamentos biométricos. Abrangencia: proprio."
"proprio";"apuracao:recalcular:proprio";"apuracao";"recalcular";"gerada automaticamente";"Recalcular apurações de frequência. Abrangencia: proprio."
"proprio";"auditoria:consultar:proprio";"auditoria";"consultar";"gerada automaticamente";"Consultar trilhas de auditoria do sistema. Abrangencia: proprio."
"proprio";"auditoria:detalhar:proprio";"auditoria";"detalhar";"gerada automaticamente";"Detalhar eventos de auditoria do sistema. Abrangencia: proprio."
"proprio";"auditoria:exportar:proprio";"auditoria";"exportar";"gerada automaticamente";"Exportar trilhas de auditoria. Abrangencia: proprio."
"proprio";"banco-horas:gerenciar:proprio";"banco-horas";"gerenciar";"gerada automaticamente";"Gerenciar e recalcular banco de horas. Abrangencia: proprio."
"proprio";"biometria:gerenciar:proprio";"biometria";"gerenciar";"gerada automaticamente";"Gerenciar cadastros biométricos faciais. Abrangencia: proprio."
"proprio";"biometriafacial:invalidar:proprio";"biometriafacial";"invalidar";"gerada automaticamente";"Invalidar cadastro de biometria facial. Abrangencia: proprio."
"proprio";"biometriafacial:visualizar:proprio";"biometriafacial";"visualizar";"gerada automaticamente";"Consultar eventos e tentativas de biometria facial. Abrangencia: proprio."
"proprio";"boletim-frequencia:consultar:proprio";"boletim-frequencia";"consultar";"gerada automaticamente";"Consultar Boletins de Frequência. Abrangencia: proprio."
"proprio";"boletim-frequencia:encaminhar:proprio";"boletim-frequencia";"encaminhar";"gerada automaticamente";"Encaminhar Boletim de Frequência à SECAP/NUCGP. Abrangencia: proprio."
"proprio";"boletim-frequencia:gerar:proprio";"boletim-frequencia";"gerar";"gerada automaticamente";"Gerar Boletim de Frequência da unidade homologada. Abrangencia: proprio."
"proprio";"boletim-frequencia:receber:proprio";"boletim-frequencia";"receber";"gerada automaticamente";"Registrar recebimento/conferência do Boletim pela SECAP/NUCGP. Abrangencia: proprio."
"proprio";"boletim-frequencia:visualizar:proprio";"boletim-frequencia";"visualizar";"declarada explicitamente";"Visualizar próprio boletim de frequência."
"proprio";"chefias:gerenciar:proprio";"chefias";"gerenciar";"gerada automaticamente";"Gerenciar chefias, gestores, substitutos e delegações. Abrangencia: proprio."
"proprio";"configuracoes:gerenciar:proprio";"configuracoes";"gerenciar";"gerada automaticamente";"Gerenciar parâmetros gerais do SECP. Abrangencia: proprio."
"proprio";"fusos-horarios:gerenciar:proprio";"fusos-horarios";"gerenciar";"gerada automaticamente";"Gerenciar fusos horarios disponiveis para orgaos e unidades. Abrangencia: proprio."
"proprio";"homologacao:consultar:proprio";"homologacao";"consultar";"declarada explicitamente";"Consultar a própria homologação mensal."
"proprio";"homologacao:gerenciar:proprio";"homologacao";"gerenciar";"gerada automaticamente";"Gerenciar homologações mensais de todas as unidades. Abrangencia: proprio."
"proprio";"horas-extras:analisar:proprio";"horas-extras";"analisar";"gerada automaticamente";"Analisar solicitacoes de servico extraordinario como chefia ou delegado. Abrangencia: proprio."
"proprio";"horas-extras:analisar-excecao:proprio";"horas-extras";"analisar-excecao";"gerada automaticamente";"Analisar excecoes de calculo de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:aprovar-parcial:proprio";"horas-extras";"aprovar-parcial";"gerada automaticamente";"Aprovar parcialmente solicitacoes de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:auditar:proprio";"horas-extras";"auditar";"gerada automaticamente";"Auditar solicitacoes, calculos e lotes de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:cancelar-autorizacao:proprio";"horas-extras";"cancelar-autorizacao";"gerada automaticamente";"Cancelar ou substituir autorizacoes de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:configurar-politica:proprio";"horas-extras";"configurar-politica";"gerada automaticamente";"Configurar politicas versionadas de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:configurar-responsaveis:proprio";"horas-extras";"configurar-responsaveis";"gerada automaticamente";"Configurar responsaveis funcionais do fluxo de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:configurar-workflow:proprio";"horas-extras";"configurar-workflow";"gerada automaticamente";"Configurar workflows versionados de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:deliberar:proprio";"horas-extras";"deliberar";"gerada automaticamente";"Registrar deliberacao final de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:devolver:proprio";"horas-extras";"devolver";"gerada automaticamente";"Devolver solicitacoes de servico extraordinario para correcao. Abrangencia: proprio."
"proprio";"horas-extras:encaminhar-orcamento:proprio";"horas-extras";"encaminhar-orcamento";"gerada automaticamente";"Encaminhar solicitacoes de servico extraordinario para analise orcamentaria. Abrangencia: proprio."
"proprio";"horas-extras:exportar:proprio";"horas-extras";"exportar";"gerada automaticamente";"Exportar demonstrativos e lotes de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:fechar-lote:proprio";"horas-extras";"fechar-lote";"gerada automaticamente";"Fechar lote mensal de pagamento de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:gerar-lote:proprio";"horas-extras";"gerar-lote";"gerada automaticamente";"Gerar lote mensal de pagamento de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:rejeitar:proprio";"horas-extras";"rejeitar";"gerada automaticamente";"Rejeitar solicitacoes de servico extraordinario conforme competencia do fluxo. Abrangencia: proprio."
"proprio";"horas-extras:reprocessar:proprio";"horas-extras";"reprocessar";"gerada automaticamente";"Reprocessar calculos de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:responder-orcamento:proprio";"horas-extras";"responder-orcamento";"gerada automaticamente";"Registrar parecer orcamentario para servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:visualizar-execucao:proprio";"horas-extras";"visualizar-execucao";"gerada automaticamente";"Visualizar execucao e calculos de servico extraordinario. Abrangencia: proprio."
"proprio";"horas-extras:visualizar-folha:proprio";"horas-extras";"visualizar-folha";"gerada automaticamente";"Visualizar previa e lotes de pagamento de servico extraordinario. Abrangencia: proprio."
"proprio";"integracoes:consultar:proprio";"integracoes";"consultar";"gerada automaticamente";"Consultar status, logs e equipamentos de integração. Abrangencia: proprio."
"proprio";"integracoes:gerenciar:proprio";"integracoes";"gerenciar";"gerada automaticamente";"Gerenciar integrações externas e equipamentos biométricos. Abrangencia: proprio."
"proprio";"integracoes:receber-webhook:proprio";"integracoes";"receber-webhook";"gerada automaticamente";"Receber eventos externos por webhook. Abrangencia: proprio."
"proprio";"integracoes:sincronizar:proprio";"integracoes";"sincronizar";"gerada automaticamente";"Executar sincronizações manuais com sistemas externos. Abrangencia: proprio."
"proprio";"integracoes-sarh:configurar:proprio";"integracoes-sarh";"configurar";"gerada automaticamente";"Configurar URL base, endpoints, timeouts e parâmetros da integração SARH. Abrangencia: proprio."
"proprio";"integracoes-sarh:consultar:proprio";"integracoes-sarh";"consultar";"gerada automaticamente";"Consultar painel, execuções, itens, erros e conflitos da integração SARH. Abrangencia: proprio."
"proprio";"integracoes-sarh:executar:proprio";"integracoes-sarh";"executar";"gerada automaticamente";"Executar carga inicial ou sincronização manual com o SARH. Abrangencia: proprio."
"proprio";"integracoes-sarh:reprocessar:proprio";"integracoes-sarh";"reprocessar";"gerada automaticamente";"Reprocessar item, matrícula, unidade, cargo ou execução SARH com falha. Abrangencia: proprio."
"proprio";"integracoes-sarh:resolver-conflito:proprio";"integracoes-sarh";"resolver-conflito";"gerada automaticamente";"Resolver conflitos entre dados do SARH e dados protegidos do SECP. Abrangencia: proprio."
"proprio";"integracoes-sarh:simular:proprio";"integracoes-sarh";"simular";"gerada automaticamente";"Executar simulação/dry-run da sincronização SARH sem gravar alterações de domínio. Abrangencia: proprio."
"proprio";"integracoes-sarh:visualizar-payload:proprio";"integracoes-sarh";"visualizar-payload";"gerada automaticamente";"Visualizar payload bruto do SARH, com cuidados de LGPD. Abrangencia: proprio."
"proprio";"integracoes-teams:ativar:proprio";"integracoes-teams";"ativar";"gerada automaticamente";"Ativar a integração Microsoft Teams. Abrangencia: proprio."
"proprio";"integracoes-teams:baixar-manifesto:proprio";"integracoes-teams";"baixar-manifesto";"gerada automaticamente";"Baixar o manifesto do aplicativo Microsoft Teams do SECP. Abrangencia: proprio."
"proprio";"integracoes-teams:configurar:proprio";"integracoes-teams";"configurar";"gerada automaticamente";"Configurar parâmetros da integração Microsoft Teams. Abrangencia: proprio."
"proprio";"integracoes-teams:desativar:proprio";"integracoes-teams";"desativar";"gerada automaticamente";"Desativar a integração Microsoft Teams. Abrangencia: proprio."
"proprio";"integracoes-teams:testar:proprio";"integracoes-teams";"testar";"gerada automaticamente";"Executar testes operacionais da integração Microsoft Teams. Abrangencia: proprio."
"proprio";"integracoes-teams:visualizar:proprio";"integracoes-teams";"visualizar";"gerada automaticamente";"Visualizar configuração e saúde da integração Microsoft Teams. Abrangencia: proprio."
"proprio";"jornada:visualizar:proprio";"jornada";"visualizar";"declarada explicitamente";"Visualizar própria jornada."
"proprio";"jornadas:gerenciar:proprio";"jornadas";"gerenciar";"gerada automaticamente";"Gerenciar jornadas, escalas e atribuições de jornada aos servidores. Abrangencia: proprio."
"proprio";"jornadas:gerenciar-politicas:proprio";"jornadas";"gerenciar-politicas";"gerada automaticamente";"Gerenciar políticas de jornada. Abrangencia: proprio."
"proprio";"marcacoes:excluir:proprio";"marcacoes";"excluir";"gerada automaticamente";"Excluir/cancelar marcacoes de ponto. Abrangencia: proprio."
"proprio";"marcacoes:gerenciar:proprio";"marcacoes";"gerenciar";"gerada automaticamente";"Gerenciar marcações. Abrangencia: proprio."
"proprio";"menus:personalizar:proprio";"menus";"personalizar";"gerada automaticamente";"Personalizar menus laterais por perfil. Abrangencia: proprio."
"proprio";"minha-equipe:consultar:proprio";"minha-equipe";"consultar";"gerada automaticamente";"Consultar presença diária dos servidores subordinados à chefia ou delegação. Abrangencia: proprio."
"proprio";"painel-executivo:consultar:proprio";"painel-executivo";"consultar";"gerada automaticamente";"Consultar painel executivo com indicadores gerenciais de frequencia, homologacao, pendencias e conformidade. Abrangencia: proprio."
"proprio";"painel-executivo:equipamentos:proprio";"painel-executivo";"equipamentos";"gerada automaticamente";"Consultar indicadores tecnicos de equipamentos de ponto no painel executivo. Abrangencia: proprio."
"proprio";"perfis:gerenciar:proprio";"perfis";"gerenciar";"gerada automaticamente";"Gerenciar perfis e permissões. Abrangencia: proprio."
"proprio";"procedimentos-frequencia:autorizar:proprio";"procedimentos-frequencia";"autorizar";"gerada automaticamente";"Autorizar procedimentos administrativos de frequencia em todos os orgaos. Abrangencia: proprio."
"proprio";"procedimentos-frequencia:consultar:proprio";"procedimentos-frequencia";"consultar";"gerada automaticamente";"Consultar procedimentos administrativos de frequencia de todos os orgaos. Abrangencia: proprio."
"proprio";"procedimentos-frequencia:emitir-nada-consta:proprio";"procedimentos-frequencia";"emitir-nada-consta";"gerada automaticamente";"Emitir Nada Consta de frequencia para servidores de todos os orgaos. Abrangencia: proprio."
"proprio";"procedimentos-frequencia:executar:proprio";"procedimentos-frequencia";"executar";"gerada automaticamente";"Registrar execucao de procedimentos administrativos de frequencia em todos os orgaos. Abrangencia: proprio."
"proprio";"procedimentos-frequencia:gerenciar:proprio";"procedimentos-frequencia";"gerenciar";"gerada automaticamente";"Gerenciar procedimentos administrativos de frequencia de todos os orgaos. Abrangencia: proprio."
"proprio";"recesso:aceitar:proprio";"recesso";"aceitar";"gerada automaticamente";"Aceitar homologacao do recesso pela SECAD. Abrangencia: proprio."
"proprio";"recesso:convocacao:proprio";"recesso";"convocacao";"gerada automaticamente";"Gerenciar convocacoes do recesso forense. Abrangencia: proprio."
"proprio";"recesso:excluir:proprio";"recesso";"excluir";"gerada automaticamente";"Excluir recesso forense cadastrado. Abrangencia: proprio."
"proprio";"recesso:gerenciar:proprio";"recesso";"gerenciar";"gerada automaticamente";"Gerenciar recesso forense anual. Abrangencia: proprio."
"proprio";"recesso:homologar:proprio";"recesso";"homologar";"gerada automaticamente";"Homologar recesso dos servidores convocados. Abrangencia: proprio."
"proprio";"recesso:relatorio:proprio";"recesso";"relatorio";"gerada automaticamente";"Gerar relatorio de folgas do recesso para SECAP. Abrangencia: proprio."
"proprio";"regulamentacao-ponto:gerenciar:proprio";"regulamentacao-ponto";"gerenciar";"gerada automaticamente";"Gerenciar regras de regulamentação do ponto por órgão. Abrangencia: proprio."
"proprio";"servidores:consultar:proprio";"servidores";"consultar";"gerada automaticamente";"Consultar servidores. Abrangencia: proprio."
"proprio";"servidores:gerenciar:proprio";"servidores";"gerenciar";"gerada automaticamente";"Gerenciar servidores e vínculos. Abrangencia: proprio."
"proprio";"solicitacoes:analisar:proprio";"solicitacoes";"analisar";"gerada automaticamente";"Analisar solicitações dos subordinados. Abrangencia: proprio."
"proprio";"substituicoes-funcao:aprovar-pagamento:proprio";"substituicoes-funcao";"aprovar-pagamento";"gerada automaticamente";"Aprovar, rejeitar ou cancelar pagamentos calculados de substituição em todas as seccionais. Abrangencia: proprio."
"proprio";"substituicoes-funcao:calcular-pagamento:proprio";"substituicoes-funcao";"calcular-pagamento";"gerada automaticamente";"Calcular pagamento de substituição com base em afastamentos, faltas e regras de qualquer seccional. Abrangencia: proprio."
"proprio";"substituicoes-funcao:configurar-valores:proprio";"substituicoes-funcao";"configurar-valores";"gerada automaticamente";"Configurar referências e valores de funções usados no cálculo de substituição em todas as seccionais. Abrangencia: proprio."
"proprio";"substituicoes-funcao:consultar:proprio";"substituicoes-funcao";"consultar";"gerada automaticamente";"Consultar substituições de função, titulares, substitutos e histórico em todas as seccionais. Abrangencia: proprio."
"proprio";"substituicoes-funcao:enviar-folha:proprio";"substituicoes-funcao";"enviar-folha";"gerada automaticamente";"Marcar pagamentos de substituição como enviados para processamento em folha em todas as seccionais. Abrangencia: proprio."
"proprio";"substituicoes-funcao:gerenciar:proprio";"substituicoes-funcao";"gerenciar";"gerada automaticamente";"Cadastrar, editar, suspender e encerrar substituições de função em todas as seccionais. Abrangencia: proprio."
"proprio";"teams-aprovacoes:analisar:proprio";"teams-aprovacoes";"analisar";"gerada automaticamente";"Analisar aprovações pelo Microsoft Teams. Abrangencia: proprio."
"proprio";"teams-homologacao:analisar:proprio";"teams-homologacao";"analisar";"gerada automaticamente";"Analisar homologações pelo Microsoft Teams. Abrangencia: proprio."
"proprio";"unidades:gerenciar:proprio";"unidades";"gerenciar";"gerada automaticamente";"Gerenciar estrutura organizacional. Abrangencia: proprio."
"proprio";"usuarios:consultar:proprio";"usuarios";"consultar";"gerada automaticamente";"Consultar usuários do sistema. Abrangencia: proprio."
"proprio";"usuarios:gerenciar:proprio";"usuarios";"gerenciar";"gerada automaticamente";"Gerenciar usuários do sistema. Abrangencia: proprio."
"seccional";"afastamentos:consultar:seccional";"afastamentos";"consultar";"gerada automaticamente";"Consultar afastamentos importados do SARH em âmbito global. Abrangencia: seccional."
"seccional";"auditoria:exportar:seccional";"auditoria";"exportar";"gerada automaticamente";"Exportar trilhas de auditoria. Abrangencia: seccional."
"seccional";"banco-horas:visualizar:seccional";"banco-horas";"visualizar";"gerada automaticamente";"Visualizar próprio banco de horas. Abrangencia: seccional."
"seccional";"biometria:cadastrar:seccional";"biometria";"cadastrar";"gerada automaticamente";"Cadastrar a própria biometria facial. Abrangencia: seccional."
"seccional";"biometria:consultar:seccional";"biometria";"consultar";"gerada automaticamente";"Consultar o próprio cadastro biométrico facial. Abrangencia: seccional."
"seccional";"biometria:gerenciar:seccional";"biometria";"gerenciar";"gerada automaticamente";"Gerenciar cadastros biométricos faciais. Abrangencia: seccional."
"seccional";"biometria:validar:seccional";"biometria";"validar";"gerada automaticamente";"Validar marcação com biometria facial própria. Abrangencia: seccional."
"seccional";"biometriafacial:invalidar:seccional";"biometriafacial";"invalidar";"gerada automaticamente";"Invalidar cadastro de biometria facial. Abrangencia: seccional."
"seccional";"biometriafacial:registrar:seccional";"biometriafacial";"registrar";"gerada automaticamente";"Usar reconhecimento facial no registro do proprio ponto. Abrangencia: seccional."
"seccional";"biometriafacial:visualizar:seccional";"biometriafacial";"visualizar";"gerada automaticamente";"Consultar eventos e tentativas de biometria facial. Abrangencia: seccional."
"seccional";"boletim-frequencia:encaminhar:seccional";"boletim-frequencia";"encaminhar";"gerada automaticamente";"Encaminhar Boletim de Frequência à SECAP/NUCGP. Abrangencia: seccional."
"seccional";"boletim-frequencia:gerar:seccional";"boletim-frequencia";"gerar";"gerada automaticamente";"Gerar Boletim de Frequência da unidade homologada. Abrangencia: seccional."
"seccional";"boletim-frequencia:visualizar:seccional";"boletim-frequencia";"visualizar";"gerada automaticamente";"Visualizar próprio boletim de frequência. Abrangencia: seccional."
"seccional";"contracheque:consultar:seccional";"contracheque";"consultar";"gerada automaticamente";"Consultar e exportar o próprio contracheque diretamente no SARH. Abrangencia: seccional."
"seccional";"dashboard:visualizar:seccional";"dashboard";"visualizar";"gerada automaticamente";"Visualizar dashboard próprio. Abrangencia: seccional."
"seccional";"espelho-ponto:visualizar:seccional";"espelho-ponto";"visualizar";"gerada automaticamente";"Visualizar próprio espelho de ponto. Abrangencia: seccional."
"seccional";"fusos-horarios:gerenciar:seccional";"fusos-horarios";"gerenciar";"gerada automaticamente";"Gerenciar fusos horarios disponiveis para orgaos e unidades. Abrangencia: seccional."
"seccional";"horas-extras:analisar:seccional";"horas-extras";"analisar";"gerada automaticamente";"Analisar solicitacoes de servico extraordinario como chefia ou delegado. Abrangencia: seccional."
"seccional";"horas-extras:analisar-excecao:seccional";"horas-extras";"analisar-excecao";"gerada automaticamente";"Analisar excecoes de calculo de servico extraordinario. Abrangencia: seccional."
"seccional";"horas-extras:aprovar-parcial:seccional";"horas-extras";"aprovar-parcial";"gerada automaticamente";"Aprovar parcialmente solicitacoes de servico extraordinario. Abrangencia: seccional."
"seccional";"horas-extras:auditar:seccional";"horas-extras";"auditar";"gerada automaticamente";"Auditar solicitacoes, calculos e lotes de servico extraordinario. Abrangencia: seccional."
"seccional";"horas-extras:cancelar:seccional";"horas-extras";"cancelar";"gerada automaticamente";"Cancelar solicitacoes proprias de servico extraordinario ainda permitidas pelo fluxo. Abrangencia: seccional."
"seccional";"horas-extras:cancelar-autorizacao:seccional";"horas-extras";"cancelar-autorizacao";"gerada automaticamente";"Cancelar ou substituir autorizacoes de servico extraordinario. Abrangencia: seccional."
"seccional";"horas-extras:devolver:seccional";"horas-extras";"devolver";"gerada automaticamente";"Devolver solicitacoes de servico extraordinario para correcao. Abrangencia: seccional."
"seccional";"horas-extras:encaminhar-orcamento:seccional";"horas-extras";"encaminhar-orcamento";"gerada automaticamente";"Encaminhar solicitacoes de servico extraordinario para analise orcamentaria. Abrangencia: seccional."
"seccional";"horas-extras:exportar:seccional";"horas-extras";"exportar";"gerada automaticamente";"Exportar demonstrativos e lotes de servico extraordinario. Abrangencia: seccional."
"seccional";"horas-extras:fechar-lote:seccional";"horas-extras";"fechar-lote";"gerada automaticamente";"Fechar lote mensal de pagamento de servico extraordinario. Abrangencia: seccional."
"seccional";"horas-extras:rejeitar:seccional";"horas-extras";"rejeitar";"gerada automaticamente";"Rejeitar solicitacoes de servico extraordinario conforme competencia do fluxo. Abrangencia: seccional."
"seccional";"horas-extras:reprocessar:seccional";"horas-extras";"reprocessar";"gerada automaticamente";"Reprocessar calculos de servico extraordinario. Abrangencia: seccional."
"seccional";"horas-extras:solicitar:seccional";"horas-extras";"solicitar";"gerada automaticamente";"Criar solicitacoes de servico extraordinario para servidores da unidade. Abrangencia: seccional."
"seccional";"horas-extras:visualizar:seccional";"horas-extras";"visualizar";"gerada automaticamente";"Visualizar as proprias solicitacoes e autorizacoes de servico extraordinario. Abrangencia: seccional."
"seccional";"integracoes:receber-webhook:seccional";"integracoes";"receber-webhook";"gerada automaticamente";"Receber eventos externos por webhook. Abrangencia: seccional."
"seccional";"integracoes:sincronizar:seccional";"integracoes";"sincronizar";"gerada automaticamente";"Executar sincronizações manuais com sistemas externos. Abrangencia: seccional."
"seccional";"integracoes-sarh:configurar:seccional";"integracoes-sarh";"configurar";"gerada automaticamente";"Configurar URL base, endpoints, timeouts e parâmetros da integração SARH. Abrangencia: seccional."
"seccional";"integracoes-sarh:consultar:seccional";"integracoes-sarh";"consultar";"gerada automaticamente";"Consultar painel, execuções, itens, erros e conflitos da integração SARH. Abrangencia: seccional."
